id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,is_mature,follow_count,total_views
45995316221,59965916,rdulive,RduLIVE,138585,Hearthstone,live,Top10 EU Chillin' on NA !Firestone,7452,2022-03-28T09:48:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_rdulive-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],FALSE,289990,33055842
45996492909,47071880,yoda,YoDa,21779,League of Legends,live,LEAGUE/LOST ARK PVP,7279,2022-03-28T13:45:05Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_yoda-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],TRUE,2250936,245993702
45997031421,44525650,k4sen,k4sen,21779,League of Legends,live,めっちゃ高ランクLoLカスタムになっちゃった,7206,2022-03-28T15:10:32Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_k4sen-{width}x{height}.jpg,['6ba1d230-e52f-4d81-b1e0-41f25a8a9f5d'],FALSE,251299,9076518
40666781003,475206149,superbuss_,SuperBusS_,516575,VALORANT,live,The King is back boys!,7178,2022-03-28T14:13:39Z,th,https://static-cdn.jtvnw.net/previews-ttv/live_user_superbuss_-{width}x{height}.jpg,['f19c7524-c18d-41af-9f39-034c8d0b0fee'],FALSE,158342,6610832
45997171629,195641865,viichan6,비챤_,496321134,Kirby and the Forgotten Land,live,태어나서 처음 커비해보는 사람,6890,2022-03-28T15:33:01Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_viichan6-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', 'ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4']",FALSE,115973,4573689
45081626828,614462258,cct_ru,CCT_RU,32399,Counter-Strike: Global Offensive,live,[RU] Vitality vs SKADE | Quarter-final | Pinnacle Cup III | by Faaalc,6799,2022-03-28T14:12:49Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_cct_ru-{width}x{height}.jpg,['0569b171-2a2b-476e-a596-5bdfb45a1327'],FALSE,115962,14696892
45080392492,30623831,quickybaby,QuickyBaby,27546,World of Tanks,live,🎁*NEW* !DROPS🎁 12 HOUR STREAM - 20 x Unlocked !PollTanks at 19:00 - 28/03/2022,6718,2022-03-28T08:38:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_quickybaby-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'c2542d6d-cd10-4532-919b-3d19f30a768b']",FALSE,486256,52389071
40666459899,84539108,nisqyy,Nisqyy,21779,League of Legends,live,SOLOQ CHALLENGER 1339 LP (!video),6551,2022-03-28T11:56:28Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_nisqyy-{width}x{height}.jpg,['6f655045-9989-4ef7-8f85-1edcec42d648'],FALSE,239955,6232037
40666861851,25684280,underground_dv,達哥,512953,Elden Ring,live,22/3/28 Elden Ring TAT GOR,6307,2022-03-28T14:51:03Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_underground_dv-{width}x{height}.jpg,"['74c92063-a389-4fd2-8460-b1bb82b04ec7', 'e659959d-392f-44c5-83a5-fb959cdbaccc']",FALSE,155615,46912750
45995999069,455679396,woohankyung,한갱,488552,Overwatch,live,역병의 유라 ⚒,6283,2022-03-28T12:21:33Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_woohankyung-{width}x{height}.jpg,"['9f1b01a8-87b9-4e25-94de-8705c1c1f4dc', '2ffd5c3e-b927-4749-ba53-79d3b626b2da', 'ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4']",FALSE,292222,18813142
